title,year,genres,avg_rating,num_votes
tt0816692,2014,"Adventure,Drama,Sci-Fi",8.6,1535200
tt2015381,2014,"Action,Adventure,Comedy",8.0,1053590
tt1431045,2016,"Action,Adventure,Comedy",8.0,912240
tt1392190,2015,"Action,Adventure,Sci-Fi",8.1,891915
tt2267998,2014,"Drama,Mystery,Thriller",8.1,871901
tt2488496,2015,"Action,Adventure,Sci-Fi",7.9,866168
tt3659388,2015,"Adventure,Drama,Sci-Fi",8.0,767938
tt2395427,2015,"Action,Adventure,Sci-Fi",7.3,757495
tt1843866,2014,"Action,Adventure,Sci-Fi",7.7,745450
tt2582802,2014,"Drama,Music",8.5,728128
tt2278388,2014,"Adventure,Comedy,Crime",8.1,717572
tt1663202,2015,"Action,Adventure,Drama",8.0,713830
tt2084970,2014,"Biography,Drama,Thriller",8.0,692359
tt3498820,2016,"Action,Adventure,Sci-Fi",7.8,674060
tt1877832,2014,"Action,Adventure,Sci-Fi",7.9,664666
tt2975590,2016,"Action,Adventure,Sci-Fi",6.4,639150
tt2096673,2015,"Adventure,Animation,Comedy",8.1,624945
tt1386697,2016,"Action,Adventure,Fantasy",6.0,609436
tt1211837,2016,"Action,Adventure,Fantasy",7.5,608169
tt1631867,2014,"Action,Adventure,Sci-Fi",7.9,605200
tt2543164,2016,"Drama,Sci-Fi",7.9,602283
tt2802144,2014,"Action,Adventure,Comedy",7.7,595021
tt2562232,2014,"Comedy,Drama",7.7,585088
tt0369610,2015,"Action,Adventure,Sci-Fi",7.0,583299
tt0478970,2015,"Action,Adventure,Comedy",7.3,578427
tt3748528,2016,"Action,Adventure,Sci-Fi",7.8,561891
tt2911666,2014,"Action,Crime,Thriller",7.4,545700
tt3460252,2015,"Crime,Drama,Mystery",7.8,524222
tt3783958,2016,"Comedy,Drama,Music",8.0,513052
tt2310332,2014,"Adventure,Fantasy",7.4,478962
tt0470752,2014,"Drama,Sci-Fi,Thriller",7.7,478636
tt2872718,2014,"Crime,Drama,Thriller",7.9,473155
tt2872732,2014,"Action,Sci-Fi,Thriller",6.4,450918
tt2179136,2014,"Action,Biography,Drama",7.3,443308
tt2119532,2016,"Biography,Drama,History",8.1,442983
tt2948356,2016,"Adventure,Animation,Comedy",8.0,438946
tt4972582,2016,"Horror,Thriller",7.3,432110
tt2713180,2014,"Action,Drama,War",7.6,431595
tt1840309,2014,"Action,Adventure,Mystery",6.6,428626
tt1895587,2015,"Biography,Crime,Drama",8.1,425614
tt1790864,2014,"Action,Mystery,Sci-Fi",6.8,421854
tt1872181,2014,"Action,Adventure,Fantasy",6.6,420108
tt1951265,2014,"Action,Adventure,Sci-Fi",6.6,417104
tt2245084,2014,"Action,Adventure,Animation",7.8,414676
tt3183660,2016,"Adventure,Family,Fantasy",7.3,414599
tt2103281,2014,"Action,Adventure,Drama",7.6,413618
tt2980516,2014,"Biography,Drama,Romance",7.7,408659
tt3385516,2016,"Action,Adventure,Sci-Fi",6.9,397453
tt2379713,2015,"Action,Adventure,Thriller",6.8,387309
tt0831387,2014,"Action,Adventure,Sci-Fi",6.4,381441
tt3170832,2015,"Drama,Thriller",8.1,376743
tt3397884,2015,"Action,Crime,Drama",7.6,375815
tt1596363,2015,"Biography,Comedy,Drama",7.8,370811
tt2820852,2015,"Action,Adventure,Thriller",7.1,361802
tt1355644,2016,"Drama,Romance,Sci-Fi",7.0,353883
tt2294449,2014,"Action,Comedy,Crime",7.0,348063
tt2582846,2014,"Drama,Romance",7.7,346898
tt1587310,2014,"Action,Adventure,Family",7.0,346800
tt2381249,2015,"Action,Adventure,Thriller",7.4,344630
tt0455944,2014,"Action,Crime,Thriller",7.2,337373
tt1065073,2014,Drama,7.9,337300
tt1490017,2014,"Action,Adventure,Animation",7.7,325636
tt2788710,2014,"Action,Adventure,Comedy",6.5,308135
tt1646971,2014,"Action,Adventure,Animation",7.8,308031
tt2322441,2015,"Drama,Romance,Thriller",4.1,299450
tt2109248,2014,"Action,Adventure,Sci-Fi",5.6,299215
tt1179933,2016,"Action,Drama,Horror",7.2,293435
tt3682448,2015,"Drama,History,Thriller",7.6,290384
tt1951266,2015,"Action,Adventure,Sci-Fi",6.6,289948
tt2004420,2014,Comedy,6.3,289125
tt3799694,2016,"Action,Comedy,Crime",7.4,284483
tt1253863,2014,"Action,Drama",6.2,282485
tt1638355,2015,"Action,Adventure,Comedy",7.3,278287
tt3521164,2016,"Adventure,Animation,Comedy",7.6,277531
tt4975722,2016,Drama,7.4,277391
tt2140479,2016,"Action,Crime,Drama",7.3,263555
tt1340138,2015,"Action,Adventure,Sci-Fi",6.3,261208
tt3040964,2016,"Adventure,Drama,Family",7.4,260543
tt2397535,2014,"Action,Drama,Sci-Fi",7.5,255365
tt3110958,2016,"Action,Adventure,Comedy",6.5,252322
tt2024469,2014,"Action,Mystery,Thriller",6.9,251451
tt4034228,2016,Drama,7.8,250488
tt3076658,2015,"Drama,Sport",7.6,249666
tt1959490,2014,"Action,Adventure,Drama",5.7,244326
tt2277860,2016,"Adventure,Animation,Comedy",7.3,243523
tt0803096,2016,"Action,Adventure,Fantasy",6.8,243124
tt4550098,2016,"Drama,Thriller",7.5,242459
tt3263904,2016,"Biography,Drama",7.4,241479
tt3079380,2015,"Action,Comedy",7.0,231289
tt1823672,2015,"Action,Crime,Drama",6.8,231082
tt2660888,2016,"Action,Adventure,Sci-Fi",7.1,230096
tt3065204,2016,"Horror,Mystery,Thriller",7.3,228240
tt4160708,2016,"Crime,Horror,Thriller",7.1,225249
tt4046784,2015,"Action,Adventure,Sci-Fi",6.3,224636
tt2361509,2015,"Comedy,Drama",7.1,224018
tt3464902,2015,"Comedy,Drama,Romance",7.2,223017
tt2381941,2015,"Comedy,Crime,Drama",6.6,221471
tt1798684,2015,"Action,Drama,Sport",7.4,219711
tt2908446,2015,"Action,Adventure,Sci-Fi",6.2,219624
tt2209764,2014,"Action,Drama,Sci-Fi",6.3,217935
tt1234721,2014,"Action,Crime,Sci-Fi",6.1,217136
tt3741834,2016,"Biography,Drama",8.0,216653
tt2126355,2015,"Action,Adventure,Thriller",6.1,214826
tt2293640,2015,"Adventure,Animation,Comedy",6.4,213820
tt3235888,2014,"Horror,Mystery,Thriller",6.8,212556
tt2674426,2016,"Drama,Romance",7.4,212283
tt4196776,2016,"Action,Thriller",6.6,210148
tt4263482,2015,"Drama,Horror,Mystery",6.9,208441
tt2582782,2016,"Action,Crime,Drama",7.6,206311
tt1289401,2016,"Action,Comedy,Fantasy",6.6,205698
tt4846340,2016,"Biography,Drama,History",7.8,203916
tt1291150,2014,"Action,Adventure,Comedy",5.8,201795
tt5311514,2016,"Animation,Drama,Fantasy",8.4,201783
tt2321549,2014,"Drama,Horror,Mystery",6.8,198984
tt2719848,2015,"Action,Adventure,Biography",7.1,198885
tt2883512,2014,"Adventure,Comedy,Drama",7.3,198597
tt3553976,2016,"Comedy,Drama",7.9,193696
tt2094766,2016,"Action,Adventure,Sci-Fi",5.7,187318
tt2637276,2015,Comedy,6.3,187218
tt2404435,2016,"Action,Adventure,Western",6.9,186713
tt2709768,2016,"Adventure,Animation,Comedy",6.5,184384
tt2005151,2016,"Biography,Comedy,Crime",7.1,182615
tt0829150,2014,"Action,Drama,Fantasy",6.3,181320
tt1398426,2015,"Biography,Drama,History",7.8,180506
tt1872194,2014,"Crime,Drama",7.4,180323
tt2446042,2014,"Action,Thriller",6.0,180301
