title,date,rating,review
" Worth watching
",2021-03-01 00:00:00,7,I really enjoyed watching this. No preaching. Just entertainment.
" A boring story make no good movie
",2021-02-27 00:00:00,4,"The story starts with a gang killing gone wrong.
Now seeking shelter with her ex-con father a young prostitute (she is nothing more than a gang bride) she tries to flee. Of course her former gang members seek revenge. All end in an shoot out.Now this movie brings nothing new. The performance is sub par at it best and the end unrealistic...I mean a gang has a long (very long) memory and would seek the traitor for revenge."
" Excellent film...
",2021-02-23 00:00:00,8,"Filming, my God, Mel Gibson a respectable sixty, beautiful, talented, convincing, that daddy's wild charm, I loved it, the cute Erin Moriarty too, were born to be father and daughter, fofys... The teenage rebellion of lord-know- everything that always bothers me, shooting, blows and bombs that never hit the protagonist, ops, here we have this differential, excellent film, action and drama in the exact measure..."
" NOT BLOOD BROTHER, THANKFULLY
",2021-02-08 00:00:00,6,"Saga of Father-Daughter on the lam. sometimes annoyingly pedestrian and corny, but good enough overall to be worth a fun watch. Even achieves occasional father-daughter moments that ring true, rare in such an action cliche' relationship in such ridiculously over the top situations. Humor is hit and miss, but the hits made me lol"
" Awful movie with unusually high ratings.
",2021-01-20 00:00:00,2,"A waste of time. Bad direction, bad acting, unrealistic and absurd storyline. Think the only thing good in this movie are the few social commentary lines and that feels out of place in a movie like this. A stain on the careers of Mel, Macy and Luna."
" Perfect for Mel
",2021-01-20 00:00:00,7,"At a time in his career and life when playing a light-hearted funny guy (like in Lethal Weapon) is not really viable (or believable) this choice of playing a dark role in a dark film is quite apt.And, to his credit, he delivers. He may be not the most awesome human being but he can deliver a movie, either as an actor or a director.Blood Father is a really good movie with plenty of drama and intensity.If you love Mel, and a rating point if you hate him take one off!This movie stands up."
" ""Your hair came out good.""
",2021-01-10 00:00:00,7,"My first car was a 1969 Chevy Nova, so whenever I see one in a movie it grabs my attention. John Link's (Mel Gibson) had obviously seen better days, and didn't serve as a getaway car very long with the Sicarios showing up to haul it away. This is another actioner from the aging Gibson, and it's his penchant for these 'B' bordering high voltage dramas that seem to keep him going these days. If you consider the real life age difference between Link and his film daughter Erin Moriarty (64 vs 26), you might think she'd be better cast as the granddaughter, but then the story would have blurred the line of credibility even further. It's stretched as it is because her character is only seventeen in the story, already a victim of a drug cartel and on the way to being a full fledged junkie. When she accidentally shoots her boyfriend Jonah (Diego Luna), she seeks her estranged Dad's help in evading certain death at the hands of the gang that's been ripped off by her beau.I have to say, Jonah's recuperative powers were nothing short of miraculous, because after being shot in the neck, and by his own admission undergoing a series of underground doctors and blood transfusions, he came back pretty much good as new in what, about twenty four hours would you say? Okay, 2 days at the outside.Nothing much new to expect here. The action is not quite Mad Max caliber, and the story doesn't offer the twists of ""Get the Gringo"", but it's still Gibson giving it all in a final face off with the bad guys. And when it's all over and you had time to think about it, you'll wonder what ever became of the thirty grand reward being offered for Lydia Jane."
" Off duty Dad, back on duty
",2021-01-09 00:00:00,7,"Mel Gibson plays John Link, ex-con, ex-drunk and ex-drug addict, has narrowly forged a proper example for his estranged daughter Lydia (Erin Moriarty). Out of the blue, seventeen year old Lydia calls her dad after her boyfriend dumps her and sets her up for trouble with a Mexican drug cartel. Daddy finally gets to stay sober enough to stand rugged and tall to prove himself. This is a roll Gibson can sink his teeth into..Filling out the cast: Diego Luna, Daniel Monacada, William H. Macy, Michael Parks and Dale Dickey."
" Great acting, great story
",2020-12-31 00:00:00,8,"First of all you get Mel and Erin, you know it will be great. And they are on it in this one. Second, its a good story, no BS, well directed. Only 8 *s because its not groundbreaking... but its a good 90 minutes spent."
" Done a thousand times before
",2020-11-14 00:00:00,2,"This time a revenge movie where the acting is very poor, the movie starts with lots of visual noise, audio noise, and lots of action and aggression... Before I even know who is who and what their motivations are.Without this basic information an action scene or tension means nothing, because I don't know the stakes. It is amateur level work in the world of cinematic storytelling.The movie is plagued with bad actring and bad editing. This movies tries to be 'Taken' but without any of the buildup or pacing. The music is incredibly bad and grating.2/10 This is terrible and borderline unwatchable."
" Mad Mel 2.0 ... Bloody awesome!
",2020-10-08 00:00:00,7,"I have tremendous respect for experienced (and ""ageing"") actors who still evolve along with the times and the current cinematic industry standards. Guys like Sylvester Stallone, Liam Neeson and Mel Gibson have been starring in action movies for 3-4 decades already, but they are still as tough and fit as ever, and even take on roles that are far more violent and graphical than in the old days. Of course, Mel Gibson has always been a bit of an outcast, and the last years he even turned into persona-non-grata in Hollywood due to a handful scandals. But still, you got to love how Mel responds to his ""fallen star"" status; - by accepting roles that are excessively violent and self-parodying in depicting him as a terrible role model (""Machete Kills"", ""The Expendables 3"", ""Dragged Across Concrete"", ""Blood Father"")...""Blood Father"" has a very simple, yet effective plot. Ex-con father, trying desperately to stay off the alcohol and not to break his parole, must protect his estranged and rebellious teenage daughter from members of an unhinged Latino drug cartel, of whom she accidentally killed the leader/her boyfriend. This is more than a mindless ""shoot 'em up"" action vehicle, mind you, as the French-born director Jean-François Richet (""Public Enemy N°1"", ""Assault on Precinct 13"") puts a lot of effort into the redemption aspect. Gibson's character link goes very far to set straight his former mistakes and to safeguard his daughter. Don't worry, though, as there are many great bits of violence, including a nasty motorcycle chase and a handful of brutal close-range executions. Splendid to see cool actors like William H. Macy and Michael Parks in significant supportive roles and, personally, I really appreciated the dry sarcasm of certain sequences, notably when the 17-year-old girl can easily buy a lot of bullets but has to show her ID for cigarettes."
" one of the best
",2020-09-26 00:00:00,10,Each year 1/2 movies come out that are worth paying for. This is one.
" very boring I don't like it only good thing is Mel (5.4)
",2020-09-06 00:00:00,5,"To be honest, I watched for Mel Gibson, which was the only good side of the movie.
It's a very simple and classic subject, I couldn't see any difference even the movie bored me, it's not nice, it's ridiculous, the fast processing of the subject bothers me.Finally, I don't like the end"
" Great action film with a top action star!!!
",2020-09-05 00:00:00,9,This is a movie about a lead character who was carved out of American stone!! Back when there was no politically correct!! Driving an American made machine like a harley!!! This is a topnotch action thriller mel at his best!!!!
" Mel's ""Comeback"" ?
",2020-08-12 00:00:00,6,"""This film is well worth a watch, and I can't decide whether I should feel guilty or happy about this.""
Come on now, this is a ... MOVIE. Taking the ramifications of watching a ... ""MOVIE"", a bit too serious ?
It'd fairly entertaining as long as we stay mostly off the Girl's coming of age struggles. Mel is good, as he usually is. Good to see he is partially out of ""Movie Jail"" for his past indiscretions."
" Just okay, nothing special.
",2020-07-08 00:00:00,6,I'm not going to write this was a bad movie because it was somewhat entertaining but it wasn't a masterpiece either. I have nothing against Mel Gibson but I don't think he's an all round actor. He's good at action comedies but when it gets a bit more serious his flaws just show. That said he's still decent enough to not be annoyed by it. Blood Father must have it from its action scenes (there are plenty of those so it was okay) as the story is a bit déjà-vu. I don't regret watching it but it's just going to be a one time viewing for me.
" very underrated movie
",2020-07-03 00:00:00,10,This is such an underrated movie. I found it very entertaining and very moving but not contrived. I think its one of Mel's best movies. Not enough people have seen this gem. For an action movie it was very well acted (the action parts were just a plus) I felt the story to be believable and there is a lot of chemistry between the father and daughter. Worth a watch. In a weird way it reminds me of Gran torino (the bonding and the endings) Blood Father us a Fantastic film. Great cast. I saw it when it came out and enjoyed watching it yet again on netflix.
" Rough & Tough Father/Daughter Ride
",2020-07-01 00:00:00,6,"(Flash Review)This illustrates the importance of good parents. An ex-con's teenage daughter, presumed missing, returns home after she gets into a violent sticky situation with the people she was rolling with. After she flees, some of those people begin to track her down yet they don't know her father is.....Mel Gibson. Ha. Let the rugged cat and mouse chase begin. Beyond the tough violence, this is also a story of it is never too late to make amends. Gibson's father character wasn't involved with his daughters life yet gets a chance to put his love and relationship to an extreme test. This is a decent little rough and tough action film with a father/daughter core tale."
" watch only to sleep on it
",2020-06-29 00:00:00,3,"One of the worst plot/scinario/twists/acting i have ever seenThe girl did one of the worst acting jobs ive ever seen , partly wasnt her fault but the horrible script's fault ."
