title,title_sentiment_score,text_sentiment_score,date,rating,review
" Actually very good from the director of The Cell
",0.4927,0.9337,2021-04-08 00:00:00,6,"Selfless is a 2015 sci fi drama starring Ryan Reynolds, Ben Kingsely,Victor Garber,Matthew Goode and Michelle Dockery. The film is about an aging billionaire named Damien(Kingsley) who is dying. So he decides to be a guinea pig for this corporation owned by Albright(Goode) to transfer his body into someone else's. Alas he enters Ryan Reynolds body who's real memories keep coming out. Could he be Mark,a devoted father and husband who offered his life for his daughter.Overall I thought it was a good flick. I liked the twists and turns this film had . Ryan Reynolds is a very versatile actor and I love watching his films(yes I even watched both Deadpool films and enjoyed them too).If you want to track down a hidden gem film then do give this one a try."
" A solid movie
",0.1531,0.971,2021-04-05 00:00:00,6,While it had moments that were mixed up and probably some plot holes all and all I throughly enjoyed it. I'm not a fan of Ryan but I could handle him in this non type casted role. It was good to see him something other than a sarcastic character who thinks it's charming to be so. Great story and also was impressed with the female lead. She needs another big lead.
" Totally stupid and typical Hollywood
",-0.5709,-0.3136,2021-04-04 00:00:00,1,Don't see it by reading the plot and getting excited like I did. Its 2 hr wasted. Nothing interesting. Consider it a movie where the protagonist finds out some secret and in order to save someone goes against a powerful person or corporation. But somehow eventually manages to defeat them. We have atleast every 3rd movie with same plot.
" Perfectly decent action/sci fi movie
",0.6369,0.4404,2021-03-28 00:00:00,7,Reynolds is good as ever in this 'comes as advertised' actioner.
" Predictable Ending.
",0.0,-0.3009,2021-03-03 00:00:00,4,Come on. I didn't want it to be predictable. The beginning of the movie suggested that the character wouldn't end the saga with a sappy American ending. I was looking for more than a quasi-action movie.
" Actually quite ok
",0.3597,0.0799,2021-02-22 00:00:00,7,"Interesting plot, good acting but you just can't take Deadpool fully seriously."
" the soundtrack!
",0.0,0.9688,2021-02-16 00:00:00,10,"This was a great surprise of a movie, I just wasn't expecting my speakers to light up. I didn't know I had lights in these newish speakers, the woofer has one but that's on all the time.
This movie might seem to have a familiar premise but this story pulled out a level of clever visual framing and amazing production and a soundtrack that drives the whole thing in a way loud soundtracks very rarely manage to pull off, it seems without Eiko Ishioka costume design Tarsem Singh used sound to raise the level of the drama the way costume and set design might be used.
Ben Kingsley was a credible ""moral"" billionaire even if he lived in an apartment that looked exactly like DJT had just moved out.
The casting was top notch all round. Everything was explained when the directors credit came up, I hadn't checked that beforehand."
" Must watch if you like sci-fi thriller
",0.4404,0.3919,2021-02-15 00:00:00,9,Well executed movie with logical explanation throughout. Will enjoy every bit of this movie. Reminds me of Paycheck movie. Not gonna say anything more but watch it yourself.
" Ryan Reynolds isn't just a comedy actor...
",-0.2755,0.0089,2021-02-11 00:00:00,8,"Despite his major roles in comedy films, Reynolds proves he can pull of a serious role while still being the hilarious character that he his. This movies plot is interesting but I wouldn't put it anywhere higher than an Eight. No this is not the GREATEST OF ALL TIME but it is definitely worth watching."
" Matthew Goode always great potrait a villain
",0.128,0.8957,2021-02-11 00:00:00,8,"Tell you the truth, I'm watching this movie because matthew Goode in it. And I think the movie was good too, if you're like fiction genre..
Matthew Goode it's one great underrated actor.."
" Entertaining movie
",0.4404,0.7907,2021-02-10 00:00:00,7,"An action packed thriller, where the basic plot has been done before, not not as well as this. The acting from all the lead actors is great, good action and stunt scenes, and there are no dull moments. A good movie to watch."
" Competent sci fi thriller; don't know why critics were so harsh
",0.1015,0.11,2021-01-27 00:00:00,7,"Certainly it treads some well-worn sci-fi territory, but I thought its spin was fresh enough not to get bashed the way it did. I ran into this film on Netflix and hadn't heard of it, probably because my kids were little then and I stopped following new movies closely as I couldn't see them in theaters. It definitely gave me more insight into Ryan Reynolds' appeal, which had mostly eluded me before.My suspicion is that this film didn't work as well on a large screen, but the action sequences are well-staged, and you've got Sir Ben Kingsley and Michelle Dockery fer cryin' out loud. OK, Sir Ben could have troweled on that New York accent a little more lightly, but his performance launches the movie with enough energy that I was drawn in. The film's trite electronic score, which mercifully intrudes less as the film progresses, may have contributed to its bad reception. Is the movie predictable as charged? Only in the way that all sci fi thrillers tend to be, but its ending is also the logical conclusion of the story the movie tells. If you're a fan of the genre, you'll probably enjoy this movie more than the critics led you to suspect."
" Glad it was a 12 rating
",0.4588,0.6705,2021-01-21 00:00:00,10,Brilliant film if they had made it a 15 rating this film would have got out of control for no reason it didn't need it. Kids can watch it and that's a good thing.
" Solid Sci-fi Action Thriller
",0.25,-0.6126,2021-01-21 00:00:00,9,"An interesting, but relatively simple premise and plot, sometimes predictable, very well directed, acted, and shot. In different hands, with different choices this could have been schlok, but as it was it was solid, likable, and believable. Light, near-future sci-fi, fist fights, gun fights, a car chase/game of chicken, themes of family, emotions....things are made obvious, but not spoon-fed.....I was impressed and highly recommend it."
" Solid 7
",0.1531,-0.5423,2021-01-21 00:00:00,7,The pro critics are morons. That's all I got. That's it.
" Just didn't quite do it for me
",0.0,0.9516,2021-01-19 00:00:00,6,"There's a lot to like about Self/less. I think it has a very intriguing and well thought out plot, which is crucial for a film like this. You also can't go wrong with Ryan Reynolds. He's such a good leading man and is so watchable, transforming pretty much any film he's in. The rest of the cast were also great, with a shout out to Matthew Goode playing his sinister role to perfection.What I think its main failing is though is its pace. This film seemed to really drag. I'd seen the trailer and as a result knew exactly where this film was headed, and it took a long time to get there. As a result I found that the first 45 minutes or so dragged, and then once things did start to pick up we fell into a slump before the final act. It felt a lot longer than the two hour runtime. This is a pretty cardinal sin in my book.Aside from this I actually quite liked the film. The characters were interesting, the plot entertaining, and the action well executed.It won't blow you away, and is kind of a middle of the road forgettable film, but is certainly entertaining enough."
" Actually not a bad movie, but...
",0.431,0.8849,2021-01-17 00:00:00,1,"I agree with one of my fellow critics here. It would have been nice to see Damian's character develop a little more. Not only, but also because Ben Kingsley is by far the better actor - in my humble opinion. The story is good and full of twists. Only the last 15 minutes or so lose in tension and get too predtictable. It seems like the makers - Netflix - wanted to do their usual: Get everything to the end that the viewer expects and that satisfies the U.S. American requirement for ""the good always wins"". So after all I gave this movie six stars.
And now for the big BUT. It is quite obvious from the bginning that Apple products are being held into the camera way too much. In several scenes an actor, mainly the lead, just pauses in his movement just when the inevitable backlit fruit is visible. Too many scenes include the actor setting up the Apple laptop - completely uselss for the plot or the movie. But the really great BUT happens in a scene, when that criminal, doctor, villain compares Edison, Einstein and Stevieboy Jobs. Two genius scientists and the CEO of a marketing company / money-making-machine? At that point the movie lost five points on it's rating, which brings it down to a 1 at the end. Leave the product placement, but bring it down to a level so it doesn't become ridiculous. It is a valid source of money for today's movie makers - at least in the USA. But do not put such a nonsense into the mouth of the main character and the plot of an otherwise decent movie."
" Preposterous and just not good
",-0.3412,-0.7174,2021-01-17 00:00:00,5,"It's a preposterous story line. But, that's not always a problem with films.
There aren't any gaping plot holes, it has been thought through.
But - it is just not very good. Its not a great watch. Its not overly captivating."
" I've watched this twice and is brilliant
",0.5859,-0.6808,2021-01-16 00:00:00,10,Not much to say without spoiling it. But it poses a moral dilemma and then then shows the humanity rather than the greed. Literally selfless
" Pretty good movie
",0.7269,0.6478,2021-01-16 00:00:00,8,Dont know why this is so underrated.ryan reynold did well in this vmovie...the concept is really good
" Irritating sound track.
",-0.4588,0.0889,2021-01-15 00:00:00,3,"Premis of the story sounds good, but lacking in ability to engage viewer. Really annoying soundtrack that doesn't fit in the slightest."
