title,title_sentiment_score,text_sentiment_score,date,rating
" Mind-blowing
",0.0,0.4588,2021-03-29 00:00:00,9
" GREATEST
",0.6369,0.0,2021-03-28 00:00:00,10
" Simply perfect
",0.5719,0.8934,2021-03-27 00:00:00,10
" Interstellar is Nolan's best film for a mass viewer
",0.6369,0.9524,2021-03-27 00:00:00,10
" One of the Best
",0.6369,0.8402,2021-03-27 00:00:00,10
" A new gem by Christopher Nolan
",0.0,0.6369,2021-03-27 00:00:00,9
" Christopher Nolan's masterpiece
",0.6249,0.9944,2021-03-27 00:00:00,10
" Christopher Nolan fan
",0.3182,0.9832,2021-03-25 00:00:00,10
" i'd like to rate 11/10
",0.3612,0.8882,2021-03-25 00:00:00,10
" Truly dreadful
",0.0,-0.9489,2021-03-24 00:00:00,2
" Magnificent!
",0.636,0.9177,2021-03-24 00:00:00,10
" Nolan's masterpiece
",0.6249,0.9184,2021-03-24 00:00:00,10
" The most clever and well formed movie I've ever seen.
",0.6865,-0.8225,2021-03-23 00:00:00,10
" ""Mankind was born on Earth. It was never meant to die here.""
",0.4847,0.9683,2021-03-23 00:00:00,10
" Somehow confusing
",-0.2263,0.8833,2021-03-22 00:00:00,6
" Sharp, original sci-fi adventure with a punch
",0.5574,0.9811,2021-03-22 00:00:00,9
" One of the greatest movies ever
",0.6369,-0.1027,2021-03-21 00:00:00,10
" Most pointless non scifi ever
",0.0,-0.3612,2021-03-21 00:00:00,1
" I will never forget this movie in my entire life
",0.1695,0.1513,2021-03-21 00:00:00,10
" Amazing work
",0.5859,0.9259,2021-03-21 00:00:00,10
" Every time another feeling
",0.128,0.8555,2021-03-21 00:00:00,10
" I Saw This at an IMAX Theater
",0.0,0.9601,2021-03-20 00:00:00,10
" Breathtaking
",0.4588,-0.0015,2021-03-20 00:00:00,10
" AMAZING MOVIE !!!!
",0.7718,0.5859,2021-03-19 00:00:00,10
" Perfect
",0.5719,0.7184,2021-03-19 00:00:00,10
" They Captured A Dream
",0.25,0.9442,2021-03-19 00:00:00,10
" A visual spectacle that is Nolan's most emotional
",0.2247,0.9985,2021-03-17 00:00:00,8
" A film that makes us think
",0.0,0.8567,2021-03-16 00:00:00,10
" I waited 5 years to watch it again
",0.0,0.0398,2021-03-15 00:00:00,10
" Brilliant Space Film
",0.5859,0.9509,2021-03-14 00:00:00,7
" A Technically great film
",0.6249,0.9081,2021-03-14 00:00:00,10
" Genius
",0.0,0.0,2021-03-14 00:00:00,10
" Best sci-fi movie I've ever watched!
",0.6696,0.1901,2021-03-14 00:00:00,8
" Must be studied
",0.0,0.5267,2021-03-13 00:00:00,10
" Profoundly beautiful
",0.5994,0.7276,2021-03-13 00:00:00,10
" ...""No, it's necessary""
",0.0,0.9904,2021-03-11 00:00:00,10
" Potential not realised
",0.0,0.5353,2021-03-11 00:00:00,6
" Sorry, but no.
",-0.4497,0.99,2021-03-11 00:00:00,5
" Science Asthetic
",0.0,0.7087,2021-03-11 00:00:00,9
" My hands are shaking
",-0.1779,-0.0516,2021-03-11 00:00:00,10
" A Emotional Roller coaster
",0.1531,0.807,2021-03-08 00:00:00,9
" Good, but not THAT good
",-0.2867,-0.5987,2021-03-07 00:00:00,6
" Extraordinary!!
",0.0,0.8646,2021-03-06 00:00:00,10
" A movie where science meets fantasy.
",0.0,0.9323,2021-03-05 00:00:00,10
" How not to mix drama and science
",0.0,-0.7981,2021-03-05 00:00:00,1
" The worst sci-fi film ever made
",-0.6249,-0.9437,2021-03-05 00:00:00,1
" Nolan's best film
",0.6369,0.9149,2021-03-04 00:00:00,10
" wow,, just wow.
",0.5859,0.976,2021-03-04 00:00:00,10
" Mind bending great sifi
",0.6249,0.8477,2021-03-03 00:00:00,10
" 3rd time is a charm
",0.4019,0.8847,2021-03-02 00:00:00,10
" A true escape
",0.5423,0.937,2021-03-01 00:00:00,10
" Great Film
",0.6249,0.9219,2021-02-28 00:00:00,8
" When Christopher Nolan and Hans Zimmer Come Together
",0.0,0.9715,2021-02-28 00:00:00,9
" I have a headache now...
",0.0,0.989,2021-02-26 00:00:00,9
" Epic Sci-fi Movie
",0.0,0.9428,2021-02-26 00:00:00,9
" Interstellar movie review
",0.0,0.9281,2021-02-26 00:00:00,9
" What a movie😍😦
",0.0,0.0,2021-02-25 00:00:00,10
" The best space movie out there
",0.6369,0.8997,2021-02-24 00:00:00,10
" Christopher Nolan's Sco-find Movie Which Bend The Laws Of Reality And Time.
",0.0,0.8047,2021-02-21 00:00:00,9
" Humanity must find a new home or a way to conquer gravity. Some great visuals with accurate science.
",0.6249,0.8683,2021-02-20 00:00:00,7
" The best Movie ever made
",0.6369,0.34,2021-02-20 00:00:00,10
" A movie that moves you
",0.0,0.5719,2021-02-20 00:00:00,10
" A must watch Sci-fi
",0.0,0.9578,2021-02-19 00:00:00,9
" By far the worst pile of c**p I've ever seen.
",-0.6249,-0.128,2021-02-19 00:00:00,1
" Agree with everyone - good film
",0.6597,0.9275,2021-02-19 00:00:00,7
" A movie so good, you'll find new things with each re-watch
",0.4927,0.5368,2021-02-18 00:00:00,10
" Incredible
",0.0,0.8368,2021-02-16 00:00:00,10
" God...
",0.0,0.925,2021-02-15 00:00:00,8
" VERY bad sci-fi
",-0.6732,-0.7616,2021-02-14 00:00:00,1
" Well paced movie that didn't feel as long as it is.
",0.2732,0.8787,2021-02-14 00:00:00,9
" Best. Movie. Ever.
",0.6369,0.9651,2021-02-13 00:00:00,10
" Only Mathew could be Cooper!
",0.0,0.7263,2021-02-13 00:00:00,10
" One of The Greatest Movies Ever Made
",0.6369,0.9965,2021-02-13 00:00:00,10
" Brilliant.
",0.5859,-0.7707,2021-02-12 00:00:00,10
" It was interesting
",0.4019,0.9515,2021-02-12 00:00:00,7
" Best movie for me
",0.6369,0.8555,2021-02-10 00:00:00,10
" Best science fiction film forever
",0.6369,0.9118,2021-02-09 00:00:00,10
" Best Science Movie Ever Watched
",0.6369,0.8934,2021-02-09 00:00:00,10
" The best sci fi I have ever watched
",0.6369,0.8993,2021-02-09 00:00:00,10
" The visual, the story, the whole movie literally is an art
",0.0,0.9441,2021-02-08 00:00:00,10
" Zzzzzzz
",0.0,0.6375,2021-02-07 00:00:00,1
" Nolan, you are an old fag, I mean genius
",-0.4767,-0.6439,2021-02-07 00:00:00,4
" Incredible!!!
",0.0,0.999,2021-02-05 00:00:00,10
" Overrated
",0.0,-0.2315,2021-02-05 00:00:00,3
" Really bad
",-0.5849,-0.9879,2021-02-05 00:00:00,1
" Once a year I watch it once
",0.0,0.0,2021-02-04 00:00:00,10
" Falls short
",0.0,0.8217,2021-02-03 00:00:00,6
" Nothing i can say does justice.
",0.5267,0.624,2021-02-03 00:00:00,10
" You either love it or hate it.
",0.128,0.4497,2021-02-02 00:00:00,10
" A film of great beauty and quality, which pleases dramatically and aesthetically from start to finish
",0.891,0.999,2021-02-01 00:00:00,10
" Masterpiece
",0.6249,0.9657,2021-01-31 00:00:00,10
" Best movie ever!
",0.6696,0.9248,2021-01-31 00:00:00,10
" one of the best movies in the history of cinema (9.6)
",0.6369,0.9764,2021-01-31 00:00:00,10
" Murph's ghost
",-0.3182,0.977,2021-01-31 00:00:00,9
" Mind blowing
",0.0,0.8316,2021-01-30 00:00:00,10
" The floating library...?
",0.0,0.9284,2021-01-30 00:00:00,8
" I FEEL SAD
",-0.4767,-0.6711,2021-01-30 00:00:00,10
" One of the best of all time
",0.6369,0.9612,2021-01-30 00:00:00,10
" the greatest movie ever made.
",0.6369,0.8074,2021-01-29 00:00:00,10
" Outstanding
",0.6124,0.8402,2021-01-29 00:00:00,9
" The most incredible move
",0.0,0.9368,2021-01-27 00:00:00,10
" Best movie ever made 11/10
",0.6369,0.0,2021-01-26 00:00:00,10
" best movie 2014
",0.6369,0.4927,2021-01-26 00:00:00,10
" A interesting film to watch
",0.4019,0.4404,2021-01-26 00:00:00,7
" A must watch
",0.0,0.7845,2021-01-26 00:00:00,10
" Masterpiece
",0.6249,0.91,2021-01-25 00:00:00,10
" In all its dimensions, this movie is spectacular
",0.0,0.955,2021-01-25 00:00:00,10
" Yawn fest
",0.0,0.9323,2021-01-25 00:00:00,1
" Best Movie
",0.6369,0.8402,2021-01-24 00:00:00,10
" 9/10 and I'm considered to be a hater
",-0.4215,-0.7606,2021-01-23 00:00:00,9
" A Masterpiece of Cinema
",0.6249,0.9735,2021-01-23 00:00:00,10
" After 7 years
",0.0,0.5859,2021-01-23 00:00:00,8
" Just doesn't work as classic sci-fi sorry
",-0.0772,-0.938,2021-01-22 00:00:00,8
" Explaining complicated things with forced and lazy dialogue
",-0.6705,-0.9435,2021-01-22 00:00:00,8
" One of my favourite films of all time
",0.0,0.9821,2021-01-21 00:00:00,10
" the movie to cruise your emotions, heartbeat and tears.
",-0.2263,0.9942,2021-01-21 00:00:00,10
" Future!
",0.0,0.8715,2021-01-20 00:00:00,10
" It's a masterpiece
",0.6249,0.9196,2021-01-20 00:00:00,10
" A Response to Kubrick
",0.0,0.9994,2021-01-19 00:00:00,10
" Too long to be amazing, but still tall and reflective!
",0.4003,0.8779,2021-01-19 00:00:00,8
" the more you watch, more information you get
",0.0,0.4588,2021-01-19 00:00:00,10
" Very good
",0.4927,0.9485,2021-01-18 00:00:00,9
" I regret not watching this movie in the theatres
",-0.4215,0.4588,2021-01-17 00:00:00,10
" One of the best Sci-fi movie
",0.6369,0.836,2021-01-17 00:00:00,8
" Bigger than cinema...
",0.0,0.9975,2021-01-16 00:00:00,9
" Go, get intrigued and push the boundaries of your mind.
",0.0,0.6996,2021-01-16 00:00:00,9
" Rewatch this if you get confused
",-0.3182,0.9595,2021-01-14 00:00:00,10
" one of the better ones
",0.4404,0.5423,2021-01-14 00:00:00,9
" Awesome
",0.6249,0.8316,2021-01-14 00:00:00,10
" Interstellar 2014 Review
",0.0,0.9573,2021-01-14 00:00:00,10
" Surely one of the best movies ever made...
",0.7964,0.9614,2021-01-13 00:00:00,10
" Emotional and epic
",0.1531,0.8225,2021-01-13 00:00:00,10
" not as good as it looks
",-0.3412,0.9913,2021-01-12 00:00:00,8
" Film had potential but didn't live up to it...
",0.0,-0.4223,2021-01-11 00:00:00,6
" Steller
",0.0,0.4588,2021-01-10 00:00:00,10
" A Stellar achievement
",0.0,0.987,2021-01-09 00:00:00,7
" Fantastic Film - Love Transcends Time
",0.8316,0.9674,2021-01-09 00:00:00,10
" Quasi Scientific masterpiece!
",0.6588,0.6696,2021-01-08 00:00:00,10
" Such an amazing film!!!
",0.6884,0.531,2021-01-07 00:00:00,10
" Watched it min 2 times
",0.0,0.6705,2021-01-07 00:00:00,9
" One of the best films ever, if not the best
",0.8555,0.9922,2021-01-07 00:00:00,10
" Another great movie of Cristopher Nolan!
",0.6588,0.9636,2021-01-06 00:00:00,9
" Best movie I've ever seen
",0.6369,0.802,2021-01-06 00:00:00,10
" Apparently! Mind Blowing 🔥
",0.0,0.717,2021-01-05 00:00:00,9
" A disappointing mess.
",-0.6908,-0.2263,2021-01-05 00:00:00,3
" The Classic.
",0.0,0.9325,2021-01-04 00:00:00,10
" Best movie I've watched
",0.6369,0.9618,2021-01-04 00:00:00,10
" my favourite film, amazing
",0.5859,0.7707,2021-01-04 00:00:00,10
" Stellar One
",0.0,0.6369,2021-01-04 00:00:00,10
" Soulful
",0.0,0.8622,2021-01-04 00:00:00,10
" Wow. just wow.
",0.8225,0.9338,2021-01-03 00:00:00,10
" The greatest move in the world
",0.6369,0.9538,2021-01-03 00:00:00,10
" The best movie I ever saw and I watched hundreds off them from Godfather, Pulp fiction, The green mile, The pianist, Schindler's list,
",0.6369,0.6369,2021-01-02 00:00:00,10
" I dont know how its 8.6 It should be 10 on 10
",0.0,0.0258,2021-01-02 00:00:00,10
" masterpiece
",0.6249,0.8555,2021-01-01 00:00:00,10
" 10/10 also for Hans Zimmer
",0.0,0.7325,2021-01-01 00:00:00,10
" One of the best science fiction movie and great music
",0.8519,0.8481,2021-01-01 00:00:00,10
" Watched on my phone just to drive Nolan insane
",-0.4019,0.4385,2020-12-31 00:00:00,6
" What a great movie
",0.6249,0.3802,2020-12-30 00:00:00,9
" GREATEST MOVIE EVER
",0.6369,0.9431,2020-12-30 00:00:00,10
" Mind Blowing
",0.0,0.7717,2020-12-29 00:00:00,10
" Didn't see the movie, but the soundtrack is great
",0.7684,0.9653,2020-12-29 00:00:00,8
" Guantanamo has a new torture method
",-0.5994,0.9501,2020-12-28 00:00:00,3
" Masterpiece
",0.6249,0.5228,2020-12-28 00:00:00,10
" Best Movie ever Made...
",0.6369,0.6892,2020-12-28 00:00:00,10
" Interstellar review
",0.0,0.7843,2020-12-28 00:00:00,8
" What a ride
",0.0,0.9475,2020-12-28 00:00:00,9
" The Review
",0.0,0.2385,2020-12-28 00:00:00,10
" How does anyone come up with this?!
",0.0,0.9101,2020-12-28 00:00:00,8
" Time dimension
",0.0,0.8945,2020-12-27 00:00:00,9
" Best Sci-fi.
",0.6369,0.8658,2020-12-27 00:00:00,10
" Astounding
",0.4215,0.923,2020-12-27 00:00:00,10
" BEST MOVIE EVER
",0.6369,0.9513,2020-12-27 00:00:00,10
" A Stunning Cinematic Achievement
",0.3818,0.9964,2020-12-26 00:00:00,10
" Such a great movie!
",0.6588,0.8316,2020-12-26 00:00:00,10
" Loved it
",0.5994,0.6369,2020-12-26 00:00:00,10
" best movie
",0.6369,0.8968,2020-12-26 00:00:00,7
" Actually one of or the best cinematic motion picture I've ever seen
",0.6369,0.9732,2020-12-25 00:00:00,10
" Almost a great movie.
",0.5868,0.9909,2020-12-24 00:00:00,7
" a complete masterpiece
",0.6249,0.4215,2020-12-21 00:00:00,10
" I'll call it a MASTERPIACE
",0.0,0.9296,2020-12-21 00:00:00,10
" almost perfect
",0.5279,0.7806,2020-12-21 00:00:00,8
" Best Sci Fi of all time
",0.6369,0.7845,2020-12-20 00:00:00,10
" A masterpiece
",0.6249,0.6249,2020-12-20 00:00:00,10
" How is this Nolan's Fifth For Me!
",0.0,0.9422,2020-12-20 00:00:00,9
" My favourite movie of all time
",0.0,0.7589,2020-12-20 00:00:00,10
" Engaging, deeply dramatic and scientifically accurate, it has some flaws that are hard to forgive.
",0.4767,0.9956,2020-12-19 00:00:00,8
" A masterpiece that change your vision
",0.7269,0.7964,2020-12-18 00:00:00,10
" Heavily overrated
",0.0,0.939,2020-12-17 00:00:00,5
" Deep in heart, stunning views, a sensational mission.
",0.3818,0.9866,2020-12-17 00:00:00,10
" This (for me) is More than just a great movie!!
",0.7138,0.4956,2020-12-15 00:00:00,10
" Best film I have ever seen
",0.6369,0.1032,2020-12-13 00:00:00,10
" Another amazing film!
",0.6239,0.8523,2020-12-12 00:00:00,10
