title,title_sentiment_score,text_sentiment_score,date,rating
" Hidden secrets exposed.
",-0.0772,0.9583,2021-03-27 00:00:00,8
" Best movie ever...
",0.6369,0.8035,2021-03-27 00:00:00,1
" This isn't how it works
",0.0,0.989,2021-03-13 00:00:00,2
" Well
",0.2732,0.6808,2021-03-11 00:00:00,8
" A masterpiece about one of the most important people in history
",0.7346,0.9863,2021-03-08 00:00:00,10
" Very inacurate
",0.0,0.8512,2021-03-05 00:00:00,2
" One big lie
",0.0,-0.8744,2021-03-02 00:00:00,1
" A pale imitation
",0.0,-0.09,2021-02-23 00:00:00,5
" More about emotions than the plot
",0.0,0.969,2021-02-20 00:00:00,9
" Excellent
",0.5719,0.7372,2021-02-19 00:00:00,10
" worst film in history
",-0.6249,0.7579,2021-02-18 00:00:00,1
" Historical Performance in leading actor
",0.0,0.9801,2021-02-17 00:00:00,10
" Great movie
",0.6249,0.8588,2021-02-15 00:00:00,9
" Accuracy Surrendered For Drama
",0.0,0.4753,2021-01-28 00:00:00,5
" Dissapointing!
",0.0,0.7044,2021-01-22 00:00:00,6
" Simple & Enjoable
",0.0,0.9863,2021-01-13 00:00:00,7
" Outstanding, Marvelous And Splendid Movie!
",0.9184,0.9678,2021-01-10 00:00:00,10
" Good but fanciful story, missed opportunity
",0.431,0.9801,2021-01-06 00:00:00,6
" Fine story
",0.2023,0.9878,2021-01-03 00:00:00,8
" Fantastic film...
",0.5574,0.8889,2020-12-28 00:00:00,10
" For me, it was one beautiful movie after a long time.
",0.5994,0.997,2020-12-25 00:00:00,10
" A thoroughly gripping and engaging film
",0.3947,0.9948,2020-12-24 00:00:00,8
" Very good movie, but flawed
",0.2724,-0.8271,2020-11-23 00:00:00,8
" A few words
",0.0,0.8402,2020-11-22 00:00:00,7
" Worst Movie on the Planet - The purpose was not historical but homosexual
",-0.3716,0.3876,2020-11-17 00:00:00,1
" Might have been enjoyable if the lead actor could act!
",0.4926,-0.7351,2020-11-10 00:00:00,1
" Just amazing
",0.5859,0.9552,2020-11-08 00:00:00,10
" Rewrite of history
",0.0,0.8271,2020-11-08 00:00:00,4
" A hooking journey through Turing's life.
",0.0,0.8481,2020-11-07 00:00:00,10
" Inaccurate
",0.0,-0.4767,2020-11-05 00:00:00,1
" great movie, but ...
",0.3716,0.8965,2020-11-02 00:00:00,8
" Disappointing: 'Enigma', 2001 is better...
",-0.4939,-0.9246,2020-11-02 00:00:00,6
" Disjointed
",-0.3182,-0.019,2020-10-31 00:00:00,4
" Love this film
",0.6369,0.9022,2020-10-30 00:00:00,10
" It's pretty good
",0.7269,0.3818,2020-10-20 00:00:00,8
" Above average
",0.0,0.9274,2020-10-11 00:00:00,8
" The power of the true story
",0.4215,0.9838,2020-10-10 00:00:00,8
" Could have been more about Turing's good work.
",0.4877,-0.5927,2020-10-02 00:00:00,8
" Not the Real Turing
",0.0,-0.979,2020-10-01 00:00:00,4
" A beautiful mind 2.0
",0.5994,0.5709,2020-09-25 00:00:00,6
" Brilliant Benedict!!
",0.658,-0.6459,2020-09-23 00:00:00,10
" I feel betrayed...
",0.0,0.0,2020-09-16 00:00:00,3
" Not extremely accurate
",0.0,0.2263,2020-09-16 00:00:00,9
" Great Drama
",0.6249,-0.1045,2020-09-13 00:00:00,9
" Commendable
",0.0,0.5994,2020-09-01 00:00:00,9
" A powerful story, but not a powerful film
",0.6808,0.1531,2020-08-31 00:00:00,6
" Looks great but suffers from a distinct lack of charisma....
",-0.6757,0.9712,2020-08-23 00:00:00,7
" Benedict Cumberbatch is Outstanding.
",0.6124,0.9867,2020-08-23 00:00:00,9
" The Best Movie Ever
",0.6369,0.9832,2020-08-16 00:00:00,10
" Absorbing & Well Acting
",0.2732,0.7258,2020-08-10 00:00:00,8
" Had hoped for better
",0.6705,0.4753,2020-08-09 00:00:00,7
