title,title_sentiment_score,text_sentiment_score,date,rating
" Hacksawed
",0.0,-0.9883,2021-03-20 00:00:00,1
" Devastating and inspiring in equal measure
",-0.3612,0.9789,2021-03-07 00:00:00,9
" No. No. No.
",-0.6808,0.0644,2021-03-04 00:00:00,1
" Blown away!
",0.0,-0.9891,2021-02-22 00:00:00,10
" ALL TIME FAVOURITE
",0.0,-0.2867,2021-02-21 00:00:00,10
" Don't miss this watch it
",0.1139,0.4404,2021-02-17 00:00:00,10
" One of best war films ever made
",0.0772,0.9129,2021-02-17 00:00:00,10
" Hacksaw Ridge
",0.0,0.9971,2021-02-07 00:00:00,10
" Bloody Brilliant
",0.2263,0.8321,2021-02-06 00:00:00,9
" One of my favorite war movie
",-0.2263,0.9774,2021-02-03 00:00:00,8
" Hacksaw ridge
",0.0,0.7501,2021-02-02 00:00:00,9
" 10 Stars as a Honor to DESMOND DOSS
",0.4939,0.9777,2021-02-01 00:00:00,10
" Masterpiece
",0.6249,0.2714,2021-01-31 00:00:00,10
" Was this a bad zombie movie
",-0.5423,-0.0516,2021-01-24 00:00:00,1
" The Greatest Story is the Bravest Man
",0.8176,0.9865,2021-01-24 00:00:00,10
" Boring and Mediocre
",-0.3182,-0.1139,2021-01-23 00:00:00,5
" Not for the squeamish, but be warned, by far the best war film I've seen for some time.
",-0.296,-0.191,2021-01-23 00:00:00,8
" Lest We Forget
",-0.2263,0.9109,2021-01-22 00:00:00,10
" Excellent WW2 movie
",0.5719,0.8439,2021-01-19 00:00:00,10
" realistic drama
",0.0,0.8832,2021-01-14 00:00:00,9
" Hacksaw Ridge
",0.0,0.8555,2021-01-11 00:00:00,10
" Absolute FLAWLESS MASTERPIECE!! Based on a REAL hero!! Took my breath away!!!!
",0.9396,0.9818,2021-01-09 00:00:00,10
" A little too much
",0.0,-0.5179,2021-01-04 00:00:00,7
" Masterpiece !!!!
",0.7405,0.7263,2021-01-02 00:00:00,10
" A worthy tribute
",0.4404,0.7385,2021-01-01 00:00:00,8
" A Great War movie
",0.0516,0.855,2020-12-28 00:00:00,10
" Amazing story, great movie
",0.836,-0.6435,2020-12-26 00:00:00,10
" What a movie
",0.0,0.9093,2020-12-25 00:00:00,9
" Hacksaw Ridge
",0.0,0.9899,2020-12-24 00:00:00,10
" I LOVED IT
",0.5994,0.7612,2020-12-21 00:00:00,9
" Uniforms
",0.0,-0.5859,2020-12-10 00:00:00,9
" Wonderful movie
",0.5719,0.7346,2020-12-04 00:00:00,8
" An Honest Review
",0.5106,0.9363,2020-11-30 00:00:00,10
" One of the best movie I have seen.
",0.6369,0.8519,2020-11-28 00:00:00,10
" Enjoyable, But For Me Not Oscar Worthy!!
",-0.4104,0.7746,2020-11-28 00:00:00,7
" Rather Different Than Other War Movies I've Seen So Far
",-0.5994,-0.7389,2020-11-26 00:00:00,8
" Based on the true story of Desmond T Doss. An incredible movie and one I can't recommended enough
",0.2978,0.9308,2020-11-25 00:00:00,9
" Like a doss
",0.3612,0.8481,2020-11-23 00:00:00,10
" Perfect
",0.5719,0.9606,2020-11-20 00:00:00,10
" Cheese, patriotism and religion ... And green screens
",0.0,0.4241,2020-11-18 00:00:00,3
" A story so worth telling, bravo!
",0.358,0.9558,2020-11-14 00:00:00,10
" If only a hacksaw would cut off the head of this ""movie""!
",-0.3382,-0.9132,2020-11-09 00:00:00,4
" Heroic biopic of pacifict Medal of Honor winner Desmond Doss is sentimentally handled by Mel Gibson but with plenty of action too
",0.8316,0.6106,2020-11-09 00:00:00,7
" Some good emotion but lacking reality
",0.2382,-0.9689,2020-10-27 00:00:00,4
" Great Movie
",0.6249,0.5994,2020-10-20 00:00:00,9
" Inspirational
",0.5106,0.8653,2020-10-11 00:00:00,9
" The best there is!
",0.6696,0.9189,2020-10-08 00:00:00,10
" Response to DukeEman's review
",0.0,0.9943,2020-10-03 00:00:00,10
" Hacksaw Ridge Motion Picture Review
",0.0,0.992,2020-09-20 00:00:00,8
" Well Doss is a hero but the movie is a joke
",0.6858,-0.2023,2020-09-14 00:00:00,6
" The full film review, courage and the inspiration.....
",0.4939,0.9356,2020-09-14 00:00:00,10
" Fantastic
",0.5574,0.9134,2020-09-03 00:00:00,9
" awsome
",0.0,0.0,2020-09-01 00:00:00,9
" Stand up for your beliefs
",0.0,-0.9659,2020-08-31 00:00:00,10
" Hacksaw Ridge will be a fantastic time in your life, it will help you realize the positive & wide angle view's of life.
",0.872,0.6249,2020-08-27 00:00:00,8
" Directors pay attention
",-0.1027,-0.2732,2020-08-22 00:00:00,10
" Very personal
",0.0,-0.9608,2020-08-19 00:00:00,8
" Story of a true hero
",0.7506,-0.815,2020-08-18 00:00:00,8
" THE POWER OF BRAVERY AND FAITH.
",0.7184,0.9863,2020-08-16 00:00:00,9
" Gut-wrenching action sequences and smaltzy sentimentality
",0.296,-0.4497,2020-08-14 00:00:00,7
" A fantasy film, with less than 50% based on Desmond Doss' actual life...
",0.0,-0.8966,2020-08-05 00:00:00,7
" Beautiful film.
",0.5994,0.9153,2020-08-05 00:00:00,10
" My first IMDb review (inspired by the badness of this movie)
",0.0,-0.9981,2020-08-02 00:00:00,2
" Shocking and surprising
",-0.1531,0.8819,2020-07-24 00:00:00,9
" One of The Best War Movies
",0.0772,0.9865,2020-07-20 00:00:00,9
" Courageous.....
",0.0,-0.7159,2020-07-19 00:00:00,9
" True story more powerful than fiction
",0.7089,0.9719,2020-07-18 00:00:00,7
" Enthralling war story
",-0.5994,0.0923,2020-07-18 00:00:00,8
" HISTORIC ! One Of The Best Biographical War film of All Time with powerful emotional punch.
",0.6114,0.9961,2020-07-17 00:00:00,9
" There will be tears!!!
",-0.4168,0.3818,2020-07-16 00:00:00,10
" Hacksaw ridge
",0.0,0.8192,2020-07-13 00:00:00,8
" Deserved Oscar
",0.0,0.9355,2020-07-10 00:00:00,10
" perhaps the best War Movie of all time, certainly the most magical
",0.4019,0.969,2020-07-09 00:00:00,10
" Nothing to add from me !
",0.0,0.8962,2020-07-09 00:00:00,10
" Excellent movie - very Hollywood, but great story
",0.8554,-0.4246,2020-07-07 00:00:00,8
" Amazing acting and directing. Superb.
",0.836,0.9608,2020-06-27 00:00:00,10
" Mel Gibson knows how to direct a war
",-0.5994,0.9864,2020-06-25 00:00:00,8
" Standing ovations!!!
",0.0,0.9376,2020-06-23 00:00:00,10
" hacksaw ridge
",0.0,-0.9927,2020-06-15 00:00:00,8
" Best war film
",0.0772,0.9061,2020-06-14 00:00:00,10
" Incredible story
",0.0,-0.9382,2020-06-12 00:00:00,9
" Very good, but flawed
",0.2724,0.6433,2020-06-11 00:00:00,6
" Different war movie
",-0.5994,0.9959,2020-06-07 00:00:00,10
" Loved It!!
",0.6688,0.9217,2020-06-07 00:00:00,10
" A perfect overall package
",0.5719,0.9184,2020-06-07 00:00:00,10
" It blows my mind everytime.
",0.0,0.9022,2020-06-06 00:00:00,8
" Mel could do better much Better 🙄
",0.7003,-0.128,2020-06-05 00:00:00,2
" Well directed, well acted period piece
",0.4939,0.9512,2020-06-04 00:00:00,8
" This war scene is estimated to be spitting if it is 3D HD
",-0.5994,-0.9552,2020-05-31 00:00:00,9
" genre expectations: war
",-0.5994,0.5994,2020-05-30 00:00:00,6
" A Legend's Biography
",0.0,0.9443,2020-05-27 00:00:00,9
" Uplifting, truthful and jaw dropping
",0.4588,0.9366,2020-05-26 00:00:00,9
" sermon
",0.0,-0.5994,2020-05-23 00:00:00,1
" Not the same
",0.0,-0.4039,2020-05-21 00:00:00,9
" Boring and corny
",-0.3182,-0.8057,2020-05-21 00:00:00,3
" Just one thing bugging me!
",0.0,-0.9354,2020-05-20 00:00:00,8
" An Amazing War Movie That Truly Understands Both The Value Of Both War & Peace
",0.5859,0.9776,2020-05-20 00:00:00,10
" Boring film
",-0.3182,-0.3182,2020-05-19 00:00:00,5
" MadMel and his dellusions of being a director
",0.0,-0.9991,2020-05-19 00:00:00,5
" One of the best war movies ever made
",0.0772,0.7391,2020-05-16 00:00:00,9
" AMAZING SPIDERMAN ON HACKSAW RIDGE!
",0.6239,0.9881,2020-05-13 00:00:00,8
" Best Movie I've Ever Watched (Since 10th May 2020)
",0.6369,0.8797,2020-05-10 00:00:00,10
" Underrated, Misunderstood
",-0.34,-0.9888,2020-05-08 00:00:00,10
" Very Inspiring...
",0.0,0.9078,2020-05-08 00:00:00,8
" mediocre entertainment
",0.4215,-0.5408,2020-05-07 00:00:00,5
" Fascinating
",0.5423,-0.2983,2020-05-05 00:00:00,8
" Great movie. Empowering, righteous and harrowing.
",0.6249,0.0946,2020-05-03 00:00:00,8
" Very Emotional & Real
",0.2247,0.9465,2020-05-01 00:00:00,8
" great film
",0.6249,0.9499,2020-04-26 00:00:00,10
" An absolute war movie
",-0.5994,0.9928,2020-04-24 00:00:00,8
" Crew cut
",-0.2732,-0.8625,2020-04-20 00:00:00,9
" Sick Mel GIBSON !!!
",-0.6341,-0.7311,2020-04-19 00:00:00,1
" Great principles, but what's it all for?
",0.3716,0.3816,2020-04-15 00:00:00,7
" The protagonist's belief in not taking guns is guarded by his comrades with guns.
",0.0,0.8519,2020-04-13 00:00:00,3
" interesting anti-war with some weaknesses
",0.0516,-0.9749,2020-04-13 00:00:00,7
" U.s and other world
",0.0,-0.3652,2020-04-11 00:00:00,6
" Strong
",0.5106,0.8119,2020-04-09 00:00:00,9
" A war film with embellishment of faith and love
",0.4767,0.9886,2020-04-05 00:00:00,8
" Amazing
",0.5859,-0.1531,2020-03-30 00:00:00,9
" Could have been so much better!
",0.5378,0.1635,2020-03-28 00:00:00,5
" Goosebumps giving war movie
",-0.3612,-0.9045,2020-03-26 00:00:00,10
" Great movie.
",0.6249,0.7896,2020-03-23 00:00:00,10
" Shockingly good.
",0.296,-0.6616,2020-03-23 00:00:00,9
" Well acted, but often silly
",0.1779,-0.3237,2020-03-20 00:00:00,6
" After Lone survivor my favorite film on list added
",0.5267,0.979,2020-03-19 00:00:00,10
" The best war movie I've ever seen!!
",0.2225,0.0258,2020-03-19 00:00:00,10
" Not a simple war movie
",0.4847,0.9344,2020-03-17 00:00:00,10
" Tour de force
",0.0,0.9791,2020-03-15 00:00:00,8
" Best war movie ever
",0.0772,-0.6609,2020-03-15 00:00:00,10
" Actually really good...
",0.0,0.5187,2020-03-14 00:00:00,7
" Ugly and beautiful
",0.1531,0.8779,2020-03-11 00:00:00,9
" Fantastic film
",0.5574,0.8146,2020-03-08 00:00:00,8
" Phenomenal
",0.0,0.8151,2020-03-08 00:00:00,8
" Ethical rigorism and dehumanized enemies...
",0.1027,-0.7847,2020-03-03 00:00:00,4
" Character within the character 'Hacksaw Ridge' Movie Trailer Review
",0.0,0.9981,2020-03-03 00:00:00,10
" I'm so glad and greatful that I've watched this film.
",0.5095,-0.1027,2020-02-28 00:00:00,10
" Definitely the best war movie, I've ever seen. With good values, and also a good message (To never give up ( A+ Movie) My Ratings 10/10
",0.8885,0.8316,2020-02-17 00:00:00,10
" World best battlefield flim
",0.3818,0.8126,2020-02-17 00:00:00,10
" Inspiring
",0.4215,0.9819,2020-02-12 00:00:00,10
" Hacksaw Ridge
",0.0,0.7072,2020-02-11 00:00:00,10
