title,title_sentiment_score,text_sentiment_score,date,rating
" Could have done so much
",0.0,-0.3665,2021-04-02 00:00:00,8
" Only dumb people like this logicless movie
",-0.2023,0.5408,2021-03-21 00:00:00,2
" Copy from South Korean Movie
",0.0,-0.3354,2021-01-22 00:00:00,1
" Insult Hindu's Religion
",-0.5106,-0.6124,2021-01-19 00:00:00,1
" Insulting Hindu Gods
",-0.4939,-0.6597,2021-01-18 00:00:00,1
" Cut it some slack and enjoy its many virtues
",0.5574,0.9436,2021-01-17 00:00:00,8
" Hinduphobic
",0.0,-0.4019,2021-01-16 00:00:00,1
" It's hurting emotions
",-0.4019,-0.128,2021-01-16 00:00:00,1
" Anti hindu propaganda
",-0.5106,-0.6369,2021-01-16 00:00:00,1
" Boring movie
",-0.3182,0.5106,2021-01-16 00:00:00,1
" Made to disrespect hindu god and hindu dharm
",-0.1779,-0.7101,2021-01-15 00:00:00,1
" Mocks every religion except E-slam
",-0.4588,-0.7424,2021-01-15 00:00:00,1
" Wonderful
",0.5719,0.4404,2021-01-05 00:00:00,9
" 2 stars because this is anti hindu movie
",-0.3182,-0.3182,2021-01-03 00:00:00,2
" Trash
",0.0,0.0,2020-12-22 00:00:00,1
" Hinduphobic
",0.0,0.0,2020-12-16 00:00:00,1
" Manipulating Movie
",-0.3612,0.0754,2020-12-13 00:00:00,1
" Bloody Hindu phobic
",-0.6249,-0.8316,2020-12-05 00:00:00,1
" No comedy
",0.0772,0.4779,2020-11-29 00:00:00,1
" Silly, deep and thought provoking.
",-0.1779,0.9895,2020-11-27 00:00:00,10
" Insulting Hindu sentiments
",-0.4939,0.8487,2020-11-22 00:00:00,1
" Hinduphobic, brainwashing
",-0.3612,-0.4767,2020-11-19 00:00:00,1
" PK
",0.0,0.6369,2020-11-14 00:00:00,10
" Utter nonsense
",-0.4019,0.6124,2020-11-11 00:00:00,1
" Hinduphobic
",0.0,-0.7935,2020-11-10 00:00:00,1
" great
",0.6249,0.0,2020-11-01 00:00:00,10
" Anti Hindu
",-0.3182,-0.8442,2020-10-25 00:00:00,1
" Philosophical Kontradictions...
",0.0,0.9924,2020-10-24 00:00:00,10
" great Indian film
",0.6249,0.9943,2020-10-17 00:00:00,8
" Total Nonsense!
",-0.4574,0.0,2020-10-17 00:00:00,1
" American in love
",0.6369,0.9812,2020-09-18 00:00:00,9
" He found it.
",0.0,0.9371,2020-09-17 00:00:00,8
" Dnt watch this movie..worst worst worst
",-0.8481,-0.6249,2020-09-17 00:00:00,1
" Funny and unique
",0.4404,0.9793,2020-09-09 00:00:00,9
" Anti-hindu and anti-national
",0.0,-0.6369,2020-08-31 00:00:00,1
" Amir khan and gang bollywood is Hindu phobic
",-0.296,-0.6486,2020-08-28 00:00:00,1
" Waste of time
",-0.4215,-0.8402,2020-08-26 00:00:00,1
" A great first half, fizzles in the middle and an underwhelming climax
",0.6249,0.9741,2020-08-24 00:00:00,7
" Worst movie
",-0.6249,0.09,2020-08-21 00:00:00,1
" Ignorance and innocence are pivotal and maybe an important aspect in our spiritual journey
",0.2263,0.9902,2020-08-16 00:00:00,8
" Only For Sushant Singh Rajput
",0.0,0.3612,2020-07-25 00:00:00,10
" hatred for hindus
",-0.6369,0.1779,2020-07-25 00:00:00,1
" Very Touching
",0.0,0.9409,2020-07-25 00:00:00,9
" Best ever movie
",0.6369,0.6249,2020-07-24 00:00:00,9
" Best movie forever
",0.6369,0.4588,2020-07-19 00:00:00,9
" Pk Is Best Comedy Movie.!
",0.7901,0.4404,2020-07-18 00:00:00,8
" Scratching the surface with lot of cliches.
",0.0,0.6369,2020-07-15 00:00:00,1
" One time watchable
",0.0,-0.5012,2020-07-13 00:00:00,2
" Right Questions
",0.0,-0.4588,2020-07-10 00:00:00,8
" Not Recommended 👎
",-0.1511,0.1243,2020-07-04 00:00:00,1
" PK- An Alien's View on Human Race Absurdities
",0.0,-0.872,2020-07-02 00:00:00,9
" I watched this with no subtitles and no knowledge of the language
",-0.5267,0.4404,2020-06-22 00:00:00,8
