title,title_sentiment_score,text_sentiment_score,date,rating
" Something sincere, from youth...
",0.4019,0.9062,2021-04-09 00:00:00,9
" Rinse and Repeat
",0.0,-0.6775,2021-04-07 00:00:00,3
" Little bit of member berries
",0.0,-0.12,2021-04-02 00:00:00,5
" Rocky Balboa is back
",0.0,0.9186,2021-03-11 00:00:00,9
" Must watch !!
",0.0,0.834,2021-03-11 00:00:00,10
" My favourite movie
",0.0,0.0,2021-02-28 00:00:00,9
" Stallone amazing, Michael B Jordan average- worth to watch it
",0.6908,0.743,2021-02-28 00:00:00,8
" Stallone brings us a classic once again
",0.0,0.5662,2021-02-27 00:00:00,10
" Very good
",0.4927,0.9923,2021-02-14 00:00:00,8
" Creed
",0.0,0.7132,2021-02-14 00:00:00,8
" Briljant! Bringing Rocky in the 21st century
",0.0,0.7831,2021-02-13 00:00:00,8
" Continues the saga very well
",0.3384,0.8268,2021-02-09 00:00:00,9
" [8.1] The younger embodiment
",0.0,0.9941,2021-02-04 00:00:00,8
" Creed review
",0.0,0.1901,2021-01-31 00:00:00,9
" Blew me away... a modern classic
",0.0,0.9824,2021-01-24 00:00:00,8
" What was once a flawless movie saga has just sadly been tainted with the release of this shameless ""film"".
",-0.3071,0.8904,2021-01-16 00:00:00,4
" Better than the original Rocky?
",0.6369,0.9799,2021-01-05 00:00:00,9
" Michael B. Jordan rocks!
",0.0,0.9962,2021-01-02 00:00:00,8
" A bit humdrum and dull
",-0.4019,-0.3436,2021-01-01 00:00:00,4
" Boring and stupid
",-0.6908,-0.9791,2020-12-10 00:00:00,3
" Beautiful
",0.5994,0.9806,2020-11-30 00:00:00,10
" TIME TAKES EVERYBODY OUT, TIMES UNDEFEATED
",0.0,0.9348,2020-11-18 00:00:00,9
" 10/10 cringe points
",0.0,0.4588,2020-10-17 00:00:00,5
" Amazing movie
",0.5859,0.9022,2020-10-15 00:00:00,10
" Well narrated paradoxic of illegitimated son
",0.2732,0.9583,2020-10-14 00:00:00,6
" Creed is a good example of how to make a mix of remake, reboot and continuation without offending the intelligence or indulging the fans' indulgence
",0.4675,0.9997,2020-10-04 00:00:00,8
" Great tribute to Rocky franchise, but just another boxing film.
",0.3716,0.9888,2020-10-04 00:00:00,5
