title,title_sentiment_score,text_sentiment_score,date,rating
" 1000th review
",0.0,0.8793,2021-03-28 00:00:00,10
" nice movie
",0.4215,-0.9022,2021-03-27 00:00:00,8
" Furious first half, lacklustre latter
",-0.5719,-0.9452,2021-03-27 00:00:00,6
" Didn't watch it for its accuracy I watched it for its action.
",0.0,-0.9338,2021-03-22 00:00:00,8
" Not a Brad Pit fan....
",0.0,0.7217,2021-03-19 00:00:00,8
" Fury (about the historically incorrect tactics)
",-0.5719,-0.6199,2021-03-15 00:00:00,7
" Unrealistic. Paints that the Germans can't shoot...
",0.0,-0.9715,2021-03-10 00:00:00,4
" Cliché fest
",0.0,-0.1027,2021-03-08 00:00:00,3
" This movie is missing something
",-0.296,0.8641,2021-03-01 00:00:00,6
" The final scene ruins what could have been a great (though historically unaccurate) movie
",0.296,-0.9463,2021-02-27 00:00:00,5
" Excellent
",0.5719,0.6696,2021-02-17 00:00:00,10
" The 2nd best war movie I've ever seen (big war movie buff here)
",-0.5574,0.5468,2021-02-10 00:00:00,10
" Too harsh
",-0.4404,-0.9313,2021-02-03 00:00:00,7
" Wow, tough crowd!
",0.5562,0.954,2021-02-01 00:00:00,9
" Loved it.
",0.5994,0.7906,2021-01-31 00:00:00,10
" Seems like Brad wanted to have his own Private Ryan
",0.3612,0.9182,2021-01-24 00:00:00,8
" Stupidest war movie ever
",-0.8074,-0.6908,2021-01-18 00:00:00,1
" A decent enough film.
",0.0,-0.6575,2021-01-17 00:00:00,7
" POINTLESS VIOLENT MOVIE
",-0.5994,0.9473,2021-01-08 00:00:00,1
" Ideals are peaceful, History is violent
",0.0258,0.8126,2021-01-07 00:00:00,9
" Compelling & terrific
",0.6124,-0.7783,2021-01-04 00:00:00,8
" Great movie
",0.6249,0.4019,2021-01-02 00:00:00,8
" Solid but not very realistic
",0.0772,-0.308,2020-12-30 00:00:00,7
" TANKS IN ACTION
",0.0,0.3431,2020-12-27 00:00:00,10
" A powerful film
",0.4215,-0.8883,2020-12-22 00:00:00,8
" Fury Review
",-0.5719,0.94,2020-12-19 00:00:00,8
" This movie could have been good, but it sucked instead.
",-0.4678,0.5865,2020-12-19 00:00:00,3
" This movie is more accurate than you believe. Highly Recommended
",0.2716,0.9672,2020-12-18 00:00:00,9
" Basically boring until it ain't.
",-0.3182,0.4588,2020-12-16 00:00:00,6
" A below average war movie
",-0.5994,-0.5994,2020-12-10 00:00:00,4
" Entertaining but not educational.
",0.2382,0.8014,2020-12-03 00:00:00,6
" Such a waste of good talent
",0.4404,0.8934,2020-11-28 00:00:00,5
" Loved it
",0.5994,0.8374,2020-11-21 00:00:00,8
