title,title_sentiment_score,text_sentiment_score,date,rating
" If you love churches
",0.6369,0.0516,2021-03-31 00:00:00,3
" A good remake of a dying genre
",0.4404,0.9141,2021-03-28 00:00:00,8
" A fun remake
",0.5106,0.9702,2021-03-10 00:00:00,10
" Incredible!
",0.0,0.851,2021-03-01 00:00:00,10
" You want bullets, we got bullets
",0.0772,0.9313,2021-02-10 00:00:00,10
" Another Denzel W dud film
",-0.25,0.7563,2021-01-24 00:00:00,2
" Empty
",-0.2023,0.3252,2020-12-31 00:00:00,1
" Shouldn't have bothered...
",0.0,-0.8439,2020-12-07 00:00:00,5
" Don't watch because of the original
",0.3182,0.7903,2020-12-02 00:00:00,9
" The Other Seven
",0.0,-0.2411,2020-11-16 00:00:00,4
" Evolving...
",0.0,0.7853,2020-10-25 00:00:00,8
" The great but not Magnificent Seven
",-0.3958,0.9971,2020-10-25 00:00:00,8
" Bland and ridiculous.
",-0.3612,0.1662,2020-10-16 00:00:00,3
" Pffffffffffffft
",0.0,0.9782,2020-10-08 00:00:00,5
" Can't take my eyes offa you!
",0.0,0.0,2020-10-01 00:00:00,6
" A mediocre western trying to score off a masterpiece
",0.6249,0.5795,2020-09-24 00:00:00,5
" Pretty Good Watch
",0.7269,-0.128,2020-09-23 00:00:00,8
" Magnificent!
",0.636,0.7959,2020-09-14 00:00:00,10
" Major qualification on this movie's 7 rating.
",0.0,0.8917,2020-09-14 00:00:00,8
" Pretty Bad
",-0.0772,-0.6124,2020-09-09 00:00:00,4
" Great movie and portrayal of western classic
",0.6249,0.9976,2020-09-06 00:00:00,10
" Watchable yet forgettable fun actioneer
",0.5106,-0.6003,2020-08-26 00:00:00,5
" Still enjoyable
",0.4404,0.9961,2020-08-22 00:00:00,8
" Attempted Western revival delivers action over substance
",0.0,0.9354,2020-08-16 00:00:00,6
" Another truly entertaining Western.
",0.7003,0.9552,2020-08-14 00:00:00,8
" The Lifetime Channel version of the legendary story
",0.0,0.9712,2020-08-05 00:00:00,3
" Fantastic remake of a classic
",0.5574,0.9901,2020-07-19 00:00:00,9
